Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,810a001601240003016cff0203010c0c004000651955,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 20, 22]",810a 00 16 01 24 000301 6c ff 0203010c0c00400065 1955,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 22]",81 0a 0016 01 24 0003 01 6c ff 02 03 01 0c 0c 00400065 19 55 ,1.0,0.2222222222222222,0.7777777777777778,0.4117647058823529,0.42857142857142855,0.5384615384615384,0.5
3,810a001f01240003016cff0203030f0c0040006519553e44424800003f4901,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 20, 22, 31]",810a 00 1f 01 24 000301 6c ff 0203030f0c00400065 1955 3e44424800003f4901,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31]",81 0a 001f 01 24 0003 01 6c ff 02 03 03 0f 0c 00400065 19 55 3e 44 42480000 3f 49 01,1.0,0.17391304347826086,0.8,0.36363636363636365,0.4666666666666667,0.5000000000000001,0.25
13,810a001c01240003016cff02030d06c4028000010e320c082201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02030d06c40280 00010e 320c082201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 0d 06 c4 02800001 0e 32 0c08 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
15,810a001c01240003016cff02030f06c4028000010e320f782201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02030f06c40280 00010e 320f782201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 0f 06 c4 02800001 0e 32 0f78 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
17,810a001c01240003016cff02031106c4028000010e3212e82201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02031106c40280 00010e 3212e82201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 11 06 c4 02800001 0e 32 12e8 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
19,810a001c01240003016cff02031306c4028000010e3216582201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02031306c40280 00010e 3216582201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 13 06 c4 02800001 0e 32 1658 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
21,810a001c01240003016cff02031506c4028000010e3219c82201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02031506c40280 00010e 3219c82201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 15 06 c4 02800001 0e 32 19c8 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
23,810a001c01240003016cff02031706c4028000010e321d382201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02031706c40280 00010e 321d382201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 17 06 c4 02800001 0e 32 1d38 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
25,810a001c01240003016cff02031906c4028000010e3220a82201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02031906c40280 00010e 3220a82201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 19 06 c4 02800001 0e 32 20a8 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
27,810a001c01240003016cff02031b06c4028000010e3224182201b80f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 21, 28]",810a 00 1c 01 24 000301 6c ff02031b06c40280 00010e 3224182201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 28]",81 0a 001c 01 24 0003 01 6c ff 02 03 1b 06 c4 02800001 0e 32 2418 22 01b8 0f ,1.0,0.18181818181818182,0.7777777777777778,0.3333333333333333,0.4074074074074074,0.4666666666666666,0.3333333333333333
