Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,810a001701240003011dff0203400c0c004000cf1a0201,"[0, 3, 4, 5, 6, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23]",810a00 17 01 24 0003011d ff cf 1a02 01,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 23]",81 0a 0017 01 24 0003 01 1d ff 02 03 40 0c 0c 004000cf 1a 0201,0.9411764705882353,0.4117647058823529,0.6875,0.6875,0.5454545454545454,0.6875,0.8333333333333334
2,810a001c01080003011d30400c0c004000cf1a02013e44455ca4cd3f,"[0, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]",810a00 1c 01 08 0003011d 30 cf 1a02013e4445 5c a4 cd 3f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 21, 22, 23, 27, 28]",81 0a 001c 01 08 0003 01 1d 30 40 0c 0c 004000cf 1a 0201 3e 44 455ca4cd 3f,0.9047619047619048,0.3684210526315789,0.6,0.6666666666666666,0.48148148148148145,0.631578947368421,0.8888888888888888
3,810a001801240003011dff0203410c0c0200001d194c291f,"[0, 3, 4, 5, 6, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]",810a00 18 01 24 0003011d ff,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24]",81 0a 0018 01 24 0003 01 1d ff 02 03 41 0c 0c 0200001d 19 4c 29 1f,0.9444444444444444,0.5263157894736842,0.7647058823529411,0.7222222222222222,0.6086956521739131,0.7428571428571428,0.8
4,810a001d01080003011d30410c0c0200001d194c291f3ec4010000cf3f,"[0, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29]",810a00 1d 01 08 0003011d 30,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23, 24, 28, 29]",81 0a 001d 01 08 0003 01 1d 30 41 0c 0c 0200001d 19 4c 29 1f 3e c4 010000cf 3f,0.9523809523809523,0.38095238095238093,0.65,0.65,0.5,0.65,0.875
5,810a001601240003011dff0203420c0c010000cf194b,"[0, 3, 4, 5, 6, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 42 0c0c 01 00 00 cf 194b,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",81 0a 0016 01 24 0003 01 1d ff 02 03 42 0c 0c 010000cf 19 4b,0.9375,0.47058823529411764,0.7333333333333333,0.6875,0.5714285714285714,0.7096774193548386,0.8
6,810a001b01080003011d30420c0c010000cf194b3ec4010000cf3f,"[0, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",810a00 1b 01 08 0003011d 30 42 0c0c 01 00 00 cf 194b 3e c4 01 00 00 cf 3f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 26, 27]",81 0a 001b 01 08 0003 01 1d 30 42 0c 0c010000cf 19 4b 3e c4010000cf 3f,0.9047619047619048,0.47058823529411764,0.55,0.6875,0.46153846153846156,0.6111111111111112,0.9
7,810a001601240003011dff0203430c0c010000cf194d,"[0, 3, 4, 5, 6, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 43 0c0c 01 00 00 cf 194d,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",81 0a 0016 01 24 0003 01 1d ff 02 03 43 0c 0c 010000cf 19 4d,0.9375,0.47058823529411764,0.7333333333333333,0.6875,0.5714285714285714,0.7096774193548386,0.8
8,810a002201080003011d30430c0c010000cf194d3e750a0052454c4159203230373f,"[0, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",810a00 22 01 08 0003011d 30 43 0c0c 01 00 00 cf 194d 3e 75 0a 00 52 45 4c 41 59 20 32 30 37 3f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23, 24, 33, 34]",81 0a 0022 01 08 0003 01 1d 30 43 0c 0c 010000cf 19 4d 3e 75 0a 00 52454c415920323037 3f,0.9642857142857143,0.5238095238095238,0.5555555555555556,0.75,0.48484848484848486,0.6382978723404256,0.9230769230769231
9,810a001601240003011dff0203440c0c010000cf194f,"[0, 3, 4, 5, 6, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 44 0c0c 01 00 00 cf 194f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",81 0a 0016 01 24 0003 01 1d ff 02 03 44 0c 0c 010000cf 19 4f,0.9375,0.47058823529411764,0.7333333333333333,0.6875,0.5714285714285714,0.7096774193548386,0.8
10,810a001801080003011d30440c0c010000cf194f3e91043f,"[0, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",810a00 18 01 08 0003011d 30 44 0c0c 01 00 00 cf 194f 3e 91 04 3f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23, 24]",81 0a 0018 01 08 0003 01 1d 30 44 0c 0c 010000cf 19 4f 3e 91 04 3f,0.9444444444444444,0.5263157894736842,0.7647058823529411,0.7222222222222222,0.6086956521739131,0.7428571428571428,0.8
