Hexstream,Split Indexes,Splited Hexstream
001c0101000000006b8b45670000196300000000000901a601a70125,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 63 0000000000 09 01 a6 01 a7 01 25
001c0101000000006b8b45670000196500000000000901ac01ad0127,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 65 0000000000 09 01 ac 01 ad 01 27
001c0101000000006b8b456700001967000000000009018301c90127,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 67 0000000000 09 01 83 01 c9 01 27
001c0101000000006b8b45670000196900000000000901af01b10123,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 69 0000000000 09 01 af 01 b1 01 23
001c0101000000006b8b45670000196b00000000000901a901aa012e,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 6b 0000000000 09 01 a9 01 aa 01 2e
001c0101000000006b8b45670000196d000000000009019201940122,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 6d 0000000000 09 01 92 01 94 01 22
001c0101000000006b8b45670000196f00000000000901a301a4012c,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 6f 0000000000 09 01 a3 01 a4 01 2c
001c0101000000006b8b456700001971000000000009018f01910123,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 71 0000000000 09 01 8f 01 91 01 23
001c0101000000006b8b456700001973000000000009019501970122,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 73 0000000000 09 01 95 01 97 01 22
001c0101000000006b8b45670000197500000000000901ac01ad0128,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 75 0000000000 09 01 ac 01 ad 01 28
00230101000000006b8b45670000197700000000003901ac01c9018403000002080000,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70]",00 23 0101000000006b8b45670000 19 77 0000000000 39 01 ac 01 c9 01 84 03 00 00 02 08 00 00
001c0101000000006b8b456700001979000000000009018301850123,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 79 0000000000 09 01 83 01 85 01 23
001c0101000000006b8b45670000197b000000000009018c018e012b,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 7b 0000000000 09 01 8c 01 8e 01 2b
001c0101000000006b8b45670000197d0000000000090199019b012c,"[0, 2, 4, 28, 30, 32, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 19 7d 0000000000 09 01 99 01 9b 01 2c
