Hexstream,Split Indexes,Splited Hexstream
810a001d01080003011d30350c0c0200001d194c29e23ec4028000403f,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 22, 23, 28, 29]",810a00 1d 01 08 0003011d 30 35 0c0c02 00 00 1d 19 4c 29 e2 3e c402800040 3f
810a001601240003011dff0203360c0c02800040194b,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 36 0c0c02 80 00 40 19 4b
810a001b01080003011d30360c0c02800040194b3ec4028000403f,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 26, 27]",810a00 1b 01 08 0003011d 30 36 0c0c02 80 00 40 19 4b 3e c402800040 3f
810a001601240003011dff0203370c0c02800040194d,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 37 0c0c02 80 00 40 19 4d
810a002101080003011d30370c0c02800040194d3e7509006c6974652e7274623f,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 32, 33]",810a00 21 01 08 0003011d 30 37 0c0c02 80 00 40 19 4d 3e 7509006c6974652e727462 3f
810a001601240003011dff0203380c0c02800040194f,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 38 0c0c02 80 00 40 19 4f
810a001801080003011d30380c0c02800040194f3e910a3f,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 23, 24]",810a00 18 01 08 0003011d 30 38 0c0c02 80 00 40 19 4f 3e 910a 3f
810a001601240003011dff0203390c0c02800040192b,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 39 0c0c02 80 00 40 19 2b
810a002201080003011d30390c0c02800040192b3e750a00444f532046415431363f,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 33, 34]",810a00 22 01 08 0003011d 30 39 0c0c02 80 00 40 19 2b 3e 750a00444f53204641543136 3f
810a001601240003011dff02033a0c0c02800040192a,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22]",810a00 16 01 24 0003011d ff 02 03 3a 0c0c02 80 00 40 19 2a
