Hexstream,Split Indexes,Splited Hexstream,Is Valid
810a001601240003016cff0203010c0c004000651955,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 22]",81 0a 0016 01 24 0003 01 6c ff 02 03 01 0c 0c 00400065 19 55 ,True
810a001b01080003016c30010c0c0040006519553e4442c800003f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 26, 27, 27]",81 0a 001b 01 08 0003 01 6c 30 01 0c 0c 00400065 19 55 3e 44 42c80000 3f ,True
810a001f01240003016cff0203020f0c0040006519553e44424800003f490a,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31]",81 0a 001f 01 24 0003 01 6c ff 02 03 02 0f 0c 00400065 19 55 3e 44 42480000 3f 49 0a,True
810a000d01080003016c20020f0f0f0f0f0f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 18]",81 0a 000d 01 08 0003 01 6c 20 02 0f 0f0f0f0f0f,True
810a001f01240003016cff0203030f0c0040006519553e44424800003f4901,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31]",81 0a 001f 01 24 0003 01 6c ff 02 03 03 0f 0c 00400065 19 55 3e 44 42480000 3f 49 01,True
810a000d01080003016c20030f0f0f0f0f0f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 18]",81 0a 000d 01 08 0003 01 6c 20 03 0f 0f0f0f0f0f,True
810a001601240003016cff0203040c0c004000651955,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 22]",81 0a 0016 01 24 0003 01 6c ff 02 03 04 0c 0c 00400065 19 55 ,True
810a001b01080003016c30040c0c0040006519553e44424800003f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 26, 27, 27]",81 0a 001b 01 08 0003 01 6c 30 04 0c 0c 00400065 19 55 3e 44 42480000 3f ,True
810a001b01240003016cff02030506c4028000000e31002201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 26, 27, 27]",81 0a 001b 01 24 0003 01 6c ff 02 03 05 06 c4 02800000 0e 31 00 22 01b8 0f ,True
810a001301080003016c300506110e3100600f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 19]",81 0a 0013 01 08 0003 01 6c 30 05 06 11 0e 31 00 60 0f ,True
810a001b01240003016cff02030606c4028000010e31002201b80f,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 26, 27, 27]",81 0a 001b 01 24 0003 01 6c ff 02 03 06 06 c4 02800001 0e 31 00 22 01b8 0f ,True
