Hexstream,Split Indexes,Splited Hexstream
810a001601240003016cff0203010c0c004000651955,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 44]",81 0a 00 16 01 24 00 03 016cff 0203010c0c004000651955
810a001b01080003016c30010c0c0040006519553e4442c800003f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 54]",81 0a 00 1b 01 08 00 03 016c30 010c0c0040006519553e4442c800003f
810a001f01240003016cff0203020f0c0040006519553e44424800003f490a,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 62]",81 0a 00 1f 01 24 00 03 016cff 0203020f0c0040006519553e44424800003f490a
810a000d01080003016c20020f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 26]",81 0a 00 0d 01 08 00 03 016c20 020f
810a001f01240003016cff0203030f0c0040006519553e44424800003f4901,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 62]",81 0a 00 1f 01 24 00 03 016cff 0203030f0c0040006519553e44424800003f4901
810a000d01080003016c20030f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 26]",81 0a 00 0d 01 08 00 03 016c20 030f
810a001601240003016cff0203040c0c004000651955,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 44]",81 0a 00 16 01 24 00 03 016cff 0203040c0c004000651955
810a001b01080003016c30040c0c0040006519553e44424800003f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 54]",81 0a 00 1b 01 08 00 03 016c30 040c0c0040006519553e44424800003f
810a001b01240003016cff02030506c4028000000e31002201b80f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 54]",81 0a 00 1b 01 24 00 03 016cff 02030506c4028000000e31002201b80f
810a001301080003016c300506110e3100600f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 38]",81 0a 00 13 01 08 00 03 016c30 0506110e3100600f
810a001b01240003016cff02030606c4028000010e31002201b80f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 54]",81 0a 00 1b 01 24 00 03 016cff 02030606c4028000010e31002201b80f
810a01ce01080003016c300606100e310065fe01b82f2f20546869732066696c6520776173206175746f6d61746963616c6c7920757064617465640d0a2f2f2062792053796e65726779206f6e2030342f32372f323030352031343a31322e0d0a0d0a56455253494f4e28352e30290d0a0d0a2f2f6e616d652c6c616e67756167652c6461746520666f726d61742c4241436e65742049440d0a2f2f6c61742c6c6f6e672c545a2c4453542c49324320542f4f2c626c696e6b2c6d6f6d656e746172792c666164652c742f6f2c7761726e2c687973742c70686173652c626565702c4152434e45542069640d0a2f2f7363686564756c65733a4d6f6e6461792c547565736461792c5765646e65736461792c54687572736461790d0a2f2f7363686564756c65733a4672696461792c53617475726461792c53756e6461792c486f6c696461790d0a434142494e45542031282253594e45524759222c454e474c4953482c414d45524943414e2c3130382c0d0a202033333a34352c2d38343a33302c2d30353a30302c5945532c31352e302c302e352c302e352c302e302c302c302c322c504841534520412c4e4f2c3130382c0d0a20205343484544554c4520302c5343484544554c4520302c0f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 924]",81 0a 01 ce 01 08 00 03 016c30 0606100e310065fe01b82f2f20546869732066696c6520776173206175746f6d61746963616c6c7920757064617465640d0a2f2f2062792053796e65726779206f6e2030342f32372f323030352031343a31322e0d0a0d0a56455253494f4e28352e30290d0a0d0a2f2f6e616d652c6c616e67756167652c6461746520666f726d61742c4241436e65742049440d0a2f2f6c61742c6c6f6e672c545a2c4453542c49324320542f4f2c626c696e6b2c6d6f6d656e746172792c666164652c742f6f2c7761726e2c687973742c70686173652c626565702c4152434e45542069640d0a2f2f7363686564756c65733a4d6f6e6461792c547565736461792c5765646e65736461792c54687572736461790d0a2f2f7363686564756c65733a4672696461792c53617475726461792c53756e6461792c486f6c696461790d0a434142494e45542031282253594e45524759222c454e474c4953482c414d45524943414e2c3130382c0d0a202033333a34352c2d38343a33302c2d30353a30302c5945532c31352e302c302e352c302e352c302e302c302c302c322c504841534520412c4e4f2c3130382c0d0a20205343484544554c4520302c5343484544554c4520302c0f
810a001c01240003016cff02030706c4028000010e3201b82201b80f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 56]",81 0a 00 1c 01 24 00 03 016cff 02030706c4028000010e3201b82201b80f
810a01cf01080003016c300706100e3201b865fe01b85343484544554c4520302c5343484544554c4520302c0d0a20205343484544554c4520302c5343484544554c4520302c5343484544554c4520302c5343484544554c452030290d0a0d0a2f2f6e616d652c646174652c7363686564756c6520746f2072756e0d0a484f4c494441590d0a7b0d0a0d0a7d0d0a0d0a2f2f6e616d652c747970652c6e2f612b6f6e2f6f66662b7072696f726974792c742f6f2c7761726e74696d652c67726f75700d0a5357495443480d0a7b0d0a0d0a202053574954434820323031282253776974636820323031222c4c415443482c5945532c302c302c47524f555020323031290d0a202053574954434820323032282253776974636820323032222c4c415443482c5945532c302c302c47524f555020323032290d0a202053574954434820323033282253776974636820323033222c4c415443482c5945532c302c302c47524f555020323033290d0a202053574954434820323034282253776974636820323034222c4c415443482c5945532c302c302c47524f555020323034290d0a202053574954434820323035282253776974636820323035222c4c415443482c5945532c302c302c47524f55500f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 926]",81 0a 01 cf 01 08 00 03 016c30 0706100e3201b865fe01b85343484544554c4520302c5343484544554c4520302c0d0a20205343484544554c4520302c5343484544554c4520302c5343484544554c4520302c5343484544554c452030290d0a0d0a2f2f6e616d652c646174652c7363686564756c6520746f2072756e0d0a484f4c494441590d0a7b0d0a0d0a7d0d0a0d0a2f2f6e616d652c747970652c6e2f612b6f6e2f6f66662b7072696f726974792c742f6f2c7761726e74696d652c67726f75700d0a5357495443480d0a7b0d0a0d0a202053574954434820323031282253776974636820323031222c4c415443482c5945532c302c302c47524f555020323031290d0a202053574954434820323032282253776974636820323032222c4c415443482c5945532c302c302c47524f555020323032290d0a202053574954434820323033282253776974636820323033222c4c415443482c5945532c302c302c47524f555020323033290d0a202053574954434820323034282253776974636820323034222c4c415443482c5945532c302c302c47524f555020323034290d0a202053574954434820323035282253776974636820323035222c4c415443482c5945532c302c302c47524f55500f
810a001c01240003016cff02030806c4028000010e3203702201b80f,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 22, 56]",81 0a 00 1c 01 24 00 03 016cff 02030806c4028000010e3203702201b80f
