Hexstream,Split Indexes,Splited Hexstream
00200101000000006b8b45670000000000000000010901aa01a90103810d00ca,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00000000 00000000 01 09 01 aa 01 a9 01 03 810d 00ca
001c0101000000006b8b45670000000100000000000901a901aa0123,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00000001 00000000 00 09 01 a9 01 aa 01 23
00200101000000006b8b45670000000200000000010901880186010e809d00b5,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00000002 00000000 01 09 01 88 01 86 01 0e 809d 00b5
001c0101000000006b8b45670000000300000000000901860188012e,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00000003 00000000 00 09 01 86 01 88 01 2e
00200101000000006b8b456700000004000000000109019b01990101837905bd,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00000004 00000000 01 09 01 9b 01 99 01 01 8379 05bd
001c0101000000006b8b4567000000050000000000090199019b0121,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00000005 00000000 00 09 01 99 01 9b 01 21
00200101000000006b8b456700000006000000000109019701950108837303c5,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00000006 00000000 01 09 01 97 01 95 01 08 8373 03c5
001c0101000000006b8b456700000007000000000009019501970128,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00000007 00000000 00 09 01 95 01 97 01 28
00200101000000006b8b456700000008000000000109018b01890109828b01f2,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00000008 00000000 01 09 01 8b 01 89 01 09 828b 01f2
001c0101000000006b8b4567000000090000000000090189018b0129,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00000009 00000000 00 09 01 89 01 8b 01 29
00200101000000006b8b45670000000a00000000010901940192010880be03cf,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 0000000a 00000000 01 09 01 94 01 92 01 08 80be 03cf
001c0101000000006b8b45670000000b000000000009019201940128,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 0000000b 00000000 00 09 01 92 01 94 01 28
00200101000000006b8b45670000000c00000000010901880186010f809d00b7,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 0000000c 00000000 01 09 01 88 01 86 01 0f 809d 00b7
001c0101000000006b8b45670000000d00000000000901860188012f,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 0000000d 00000000 00 09 01 86 01 88 01 2f
